ds,ticker,y,CongestionLevel,y_100m2,level,num_level
2023-07-04 08:40:00,롯데월드잠실점,0.00812,1,0.812,여유,1
2023-07-04 08:40:00,롯데백화점에비뉴엘월드타워점,0.01573,1,1.5730000000000002,여유,1
2023-07-04 08:40:00,롯데월드몰,0.00318,1,0.318,여유,1
2023-07-04 08:40:00,올림픽공원세계평화의문,0.04413,2,4.413,조금 혼잡,3
2023-07-04 08:40:00,잠실역 롯데월드,0.01983,1,1.983,보통,2
2023-07-04 08:40:00,방이동 먹자골목,0.02727,2,2.727,보통,2
2023-07-04 10:30:00,롯데월드잠실점,0.06472,3,6.472,조금 혼잡,3
2023-07-04 10:30:00,롯데백화점에비뉴엘월드타워점,0.03469,2,3.469,보통,2
2023-07-04 10:30:00,롯데월드몰,0.00669,1,0.6689999999999999,여유,1
2023-07-04 10:30:00,올림픽공원세계평화의문,0.05617,3,5.617,조금 혼잡,3
2023-07-04 10:40:00,잠실역 롯데월드,0.03181,2,3.181,보통,2
2023-07-04 10:40:00,방이동 먹자골목,0.03209,2,3.209,보통,2
2023-07-04 11:20:00,롯데월드잠실점,0.08769,3,8.769,조금 혼잡,3
2023-07-04 11:20:00,롯데백화점에비뉴엘월드타워점,0.06349,3,6.349,조금 혼잡,3
2023-07-04 11:20:00,롯데월드몰,0.01168,1,1.168,여유,1
2023-07-04 11:20:00,올림픽공원세계평화의문,0.07622,3,7.622,조금 혼잡,3
2023-07-04 11:30:00,잠실역 롯데월드,0.03689,2,3.689,조금 혼잡,3
2023-07-04 11:30:00,방이동 먹자골목,0.03301,2,3.3009999999999997,보통,2
